Title,Abstract,Document Type,Region / Country,HDP Tags,Thematic Tags,DAC Recommendation,Affiliations,Authors,Publication Year,Language,Link,Rating,Banner,PDF
Case study: Operationalising the 'triple nexus',"The report, produced by Altai Consulting for the European Union, provides an overview of the humanitarian-development-peace (HDP) nexus, or 'triple nexus,' relevant to the European Union Emergency Trust Fund for Africa (EUTF). Through interviews with various stakeholders, the study addresses the HDP nexus\'s effectiveness in coordinating humanitarian, development, and peace actions.

Highlighting initiatives in regions like the Sahel, Lake Chad, Horn of Africa, and North Africa, the report notes the emerging frameworks and programs aimed at aligning actions across sectors. Despite advances, integrating the peace component remains challenging due to risks perceived around operational neutrality.

The report suggests improving coordination through joint analysis and planning, addressing funding cycles misalignments, and stressing the importance of empowering local actors and considering gender and climate change in nexus strategies. Lessons learned are aimed at enhancing coordination and strategic outcomes across the HDP spheres.",Report,"Burkina Faso,Chad","Development,Humanitarian,Peace","Climate,Gender,Disaster Risk Reduction,Livelihoods,Governance,Food Security & Nutrition,Protection,Social Cohesion,Economic Development,Resilience","7. Programming: Align with risk environment,4. Programming: Prioritising prevention,8. Programming: National and local capacities,1. Coordination: Joint analysis,11. Financing: Predictable flexible multi-year","Altai Consulting, European Union (EU)","Altai Consulting, European Union.",2022,English,https://trust-fund-for-africa.europa.eu/document/download/7edc88d8-326b-4bde-8752-10f281a49e4a_en?filename=EUTF%20SLC%202021%20Case%20study%20-%20Triple%20nexus.pdf&amp;prefLang=hr,,Case study Operationalising the 'triple nexus'.webp,Case study Operationalising the 'triple nexus'.pdf
"CEIPAZ Nota de Análisis 1/2025: El Debate Abierto del Consejo de Seguridad sobre Mujeres, Paz y Seguridad","This CEIPAZ analytical note (February 2025) examines the UN Security Council's annual open debate on Women, Peace and Security (WPS), held under the theme 'Women Build Peace in a Changing Environment'. Drawing on the statements of the UN Deputy Secretary-General and UN Women Executive Director, the note documents the alarming global regression on WPS implementation documented in the Secretary-General's 2024 report on Resolution 1325.

It highlights the growing backlash against gender terminology and equality commitments by some governments, and its consequences for UN and civil society work. The note is part of the CEIPAZ project on WPS and the HDP triple nexus in Spanish cooperation.",Policy Brief,,"Humanitarian,Development,Peace","Gender,Peace & Security,Policy & Strategy",6. Programming: Do no harm,CEIPAZ,Manuela Mesa,2025,Spanish,https://ceipaz.org/wp-content/uploads/2025/09/1.-Nota-de-analisis-COnsejo-Seguridad-MPS.pdf,,"CEIPAZ Nota de Análisis 12025 El Debate Abierto del Consejo de Seguridad sobre Mujeres, Paz y Seguridad.webp","CEIPAZ Nota de Análisis 12025 El Debate Abierto del Consejo de Seguridad sobre Mujeres, Paz y Seguridad.pdf"
CEIPAZ Nota de Análisis 2/2025: El Enfoque del Triple Nexo desde una Perspectiva de Género,"This CEIPAZ analytical note (April 2025) examines the triple nexus (HDP) approach from a gender perspective, arguing that integrating gender equality into humanitarian action, development, and peacebuilding is essential to ensure sustainable peace and effective interventions.

The note situates the gender perspective within the OECD DAC Recommendation and traces the historical evolution of the nexus from the double to the triple nexus. It addresses current challenges including funding fragmentation, tensions between humanitarian principles and political objectives, and the critical role of gender-sensitive conflict analysis.

Written in Spanish as part of the CEIPAZ WPS-HDP project, this is the Spanish-language companion to the CEIPAZ English Review Paper on the same theme.",Policy Brief,,"Humanitarian,Development,Peace","Gender,Policy & Strategy,Conflict Sensitivity","6. Programming: Do no harm,9. Programming: Learning and evidence",CEIPAZ,Elena Boschiero,2025,Spanish,https://ceipaz.org/wp-content/uploads/2025/09/2.-Nota-de-analisis-Triple-Nexo.pdf,,CEIPAZ Nota de Análisis 22025 El Enfoque del Triple Nexo desde una Perspectiva de Género.webp,CEIPAZ Nota de Análisis 22025 El Enfoque del Triple Nexo desde una Perspectiva de Género.pdf
"CEIPAZ Nota de Análisis 3/2025: Mujeres, Paz y Seguridad y Acción Humanitaria — hacia la convergencia de agendas","This CEIPAZ analytical note (2025) examines the convergence of the Women, Peace and Security (WPS) agenda and humanitarian action, tracing the evolution of gender integration in humanitarian response from ECOSOC resolutions to the Call to Action on Gender-Based Violence in Emergencies. The note documents how gender-based violence — particularly sexual violence in conflict — has been increasingly integrated into the WPS framework through successive Security Council resolutions (1820, 1888, 1960, 2016), and analyses remaining gaps in funding and implementation. It argues for stronger convergence between the WPS and humanitarian agendas within the triple nexus framework. Part of the CEIPAZ WPS-HDP project in Spanish cooperation.",Policy Brief,,"Humanitarian,Development,Peace","Gender,Peace & Security,Coordination",6. Programming: Do no harm,CEIPAZ,Manuela Mesa,2025,Spanish,https://ceipaz.org/wp-content/uploads/2025/09/3.-Nota-de-analisis-MPS-y-Accion-Humanitaria.pdf,,"CEIPAZ Nota de Análisis 32025 Mujeres, Paz y Seguridad y Acción Humanitaria — hacia la convergencia de agendas.webp","CEIPAZ Nota de Análisis 32025 Mujeres, Paz y Seguridad y Acción Humanitaria — hacia la convergencia de agendas.pdf"
CEIPAZ Nota de Análisis 4/2025: Análisis de Experiencias de Triple Nexo en el Norte de Mozambique — una Experiencia Comunitaria,"This CEIPAZ analytical note (2025), prepared by researchers from Gernika Gogoratuz, the University of Coimbra, and CEAP (Cabo Delgado), offers a critical analysis of triple nexus implementation in northern Mozambique from a feminist and decolonial perspective. It is based on experience presented at the CEIPAZ seminar on WPS and the HDP nexus in Spanish cooperation.

The note argues that the dominant triple nexus approaches remain top-down, reproduce unequal power relations and Western intervention models, and fail to incorporate local knowledge and community agency — particularly that of grassroots women. It calls for a fundamental rethinking of the nexus from the perspective of community agendas and local capacity strengthening, moving beyond colonial and paternalistic frameworks. A rare critical, feminist, and decolonial voice in the Spanish-language nexus literature.",Policy Brief,Mozambique,"Humanitarian,Development,Peace","Gender,Localisation,Conflict Sensitivity,Peace & Security","6. Programming: Do no harm,8. Programming: National and local capacities","CEIPAZ, Gernika Gogoratuz","Jokin Alberdi Bidaguren, Teresa Cunha, Alberto Ernesto",2025,Spanish,https://ceipaz.org/wp-content/uploads/2025/09/4.-Nota-de-analisis-experiencia-Mozambique.pdf,,CEIPAZ Nota de Análisis 42025 Análisis de Experiencias de Triple Nexo en el Norte de Mozambique — una Experiencia Comunitaria.webp,CEIPAZ Nota de Análisis 42025 Análisis de Experiencias de Triple Nexo en el Norte de Mozambique — una Experiencia Comunitaria.pdf
CEIPAZ Review Paper: The Triple Nexus Approach from a Gender Perspective,"This CEIPAZ Review Paper (October 2025) provides a comprehensive analysis of the triple nexus (HDP) approach through a gender lens, examining how integrating the Women, Peace and Security (WPS) agenda into nexus programming can improve equity and effectiveness. The paper traces the historical evolution from the 'double nexus' to the triple nexus, and argues that a gender perspective is an essential cross-cutting issue for ensuring that women, girls and other vulnerable groups are addressed as agents of change — not merely beneficiaries — in humanitarian action, development, and peacebuilding. It situates its analysis within the OECD DAC Recommendation and the UNSC Resolution 1325 framework, and explores current challenges including tensions between humanitarian principles and political objectives, and the fragmentation of gender-responsive financing. Part of the CEIPAZ project on WPS and the HDP nexus in Spanish cooperation, funded by AECID.",Report,,"Humanitarian,Development,Peace","Gender,Policy & Strategy,Coordination","6. Programming: Do no harm,9. Programming: Learning and evidence",CEIPAZ,Elena Boschiero,2025,English,https://ceipaz.org/wp-content/uploads/2025/10/English-CEIPAZ-Review-Paper-HDP-with-gender_compressed.pdf,,CEIPAZ Review Paper The Triple Nexus Approach from a Gender Perspective.webp,CEIPAZ Review Paper The Triple Nexus Approach from a Gender Perspective.pdf
Chad Crisis Response Plan 2025 - 2026,"Outlines IOM's integrated HDP approach to address immediate displacement needs alongside long-term durable solutions, housing, and cross-border humanitarian assistance. Usefulness/New Knowledge: A practical, forward-looking operational blueprint illustrating how to sequence short-term relief with long-term housing solutions in cross-border crises.",Report,"Chad,Sudan","Humanitarian,Development,Peace","Displacement & Migration,Resilience","1. Coordination: Joint analysis,10. Financing: Develop evidence-based strategies",IOM,IOM,2025,English,https://crisisresponse.iom.int/sites/g/files/tmzbdl1481/files/appeal/pdf/2026_Chad_Crisis_Response_Plan_2025__2026.pdf,,Chad Crisis Response Plan 2025 - 2026.webp,Chad Crisis Response Plan 2025 - 2026.pdf
Changing People's Lives from Delivering Aid to Ending Need,"This document captures the commitment to action from the 2016 World Humanitarian Summit to 'transcend humanitarian-development divides' — one of the five Core Responsibilities of the Agenda for Humanity. It commits humanitarian and development actors to implement a 'New Way of Working' that meets immediate humanitarian needs while simultaneously reducing risk and vulnerability and working towards collective outcomes that support the achievement of the 2030 Agenda. 

The document articulates the paradigm shift required: moving from siloed, short-term humanitarian and development programming to integrated, multi-year approaches with a greater diversity of partners. It calls for putting affected people at the centre, anticipating rather than just reacting to crises, and developing national systems rather than parallel delivery structures.",Policy Paper,,"Development,Humanitarian,Peace","Governance,Resilience,Peace & Security","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,3. Coordination: Political engagement,4. Programming: Prioritising prevention,5. Programming: People at the centre,8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year",United Nations (World Humanitarian Summit),,2016,English,https://agendaforhumanity.org/transformation/35.html,,Changing People's Lives from Delivering Aid to Ending Need.webp,
Checklist of Potential Entry Points/Areas to Explore for Cluster: HDP Nexus,"This practical tool provides humanitarian cluster coordinators and members with a structured checklist of potential entry points and areas to explore for integrating the Humanitarian-Development-Peace (HDP) Nexus into cluster coordination and programming. It identifies specific opportunities for clusters to build linkages with development actors, incorporate peace and conflict sensitivity dimensions, align with national development frameworks, and contribute to collective outcomes.

The checklist is organised around key operational areas including joint analysis, planning, resource mobilisation, monitoring and accountability, covering both intra-cluster activities and inter-pillar coordination mechanisms.",Guide,,"Development,Humanitarian,Peace","Governance,Resilience","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,5. Programming: People at the centre,9. Programming: Learning and evidence",Inter-Agency Standing Committee (IASC),,2021,English,https://www.cccmcluster.org/resources/iasc-checklist-advancing-humanitarian-development-peace-nexus-approach,,Checklist of Potential Entry PointsAreas to Explore for Cluster HDP Nexus.webp,Checklist of Potential Entry PointsAreas to Explore for Cluster HDP Nexus.pdf
Chemins pour la paix: Approches inclusives pour la prévention des conflits violents — Résumé exécutif,"French-language executive summary of the joint World Bank and United Nations flagship study on inclusive approaches to preventing violent conflict. The parent publication examines the evidence base for how humanitarian, development and peace efforts can be better aligned to address the drivers of violent conflict and reduce crisis risk. This French executive summary makes the core findings accessible to Francophone practitioners and policymakers, including in the Sahel, Central Africa and the Great Lakes region where French is the primary working language for much of the humanitarian and development community.",Report,,"Development,Peace","Peace & Security,Conflict Sensitivity,Governance,Resilience","4. Programming: Prioritising prevention,3. Coordination: Political engagement","World Bank, United Nations","World Bank, United Nations",2018,French,https://openknowledge.worldbank.org/bitstream/handle/10986/28337/211162ovFR.pdf?sequence=13&isAllowed=y,,Chemins pour la paix Approches inclusives pour la prévention des conflits violents — Résumé exécutif.webp,Chemins pour la paix Approches inclusives pour la prévention des conflits violents — Résumé exécutif.pdf
Climate Action in Conflict and Fragile Settings: Closing the Implementation Gap,"This ICRC blog post (November 2024) reflects on progress — and the continuing gap — in climate action for conflict and fragile settings, written at the onset of COP29. The authors review the COP28 Declaration on Climate, Relief, Recovery and Peace — signed by over 80 states and 40 organisations — and assess how far political commitments have been translated into tangible outcomes. They argue that climate change and conflict compound each other: conflict worsens communities' adaptive capacity while climate stress intensifies conflict risks.

The piece examines structural barriers — institutional aversion to risk, inability to programme in insecure areas, and mismatch between climate fund design and fragile governance contexts — and proposes practical pathways including fit-for-purpose financing instruments and stronger HDP-climate nexus coordination. Directly relevant for practitioners and policymakers working at the intersection of climate, peace, and humanitarian action.",Article,,"Humanitarian,Development,Peace","Climate,Financing,Policy & Strategy",7. Programming: Align with risk environment,International Committee of the Red Cross (ICRC),"Catherine-Lune Grayson, Amir Khouzam",2024,English,https://blogs.icrc.org/law-and-policy/2024/11/12/climate-action-in-conflict-and-fragile-settings-closing-the-implementation-gap/,,Climate Action in Conflict and Fragile Settings Closing the Implementation Gap.webp,Climate Action in Conflict and Fragile Settings Closing the Implementation Gap.pdf
Climate Resilience and the HDP Nexus in Contexts of Protracted Displacement: Lessons from Jordan,"This 115-page CGIAR research report (2024), conducted under the CGIAR Initiative on Fragility, Conflict, and Migration (FCM), explores the intersections of climate resilience, displacement, and development within the HDP nexus framework in Jordan — one of the world's most water-scarce countries and largest refugee-hosting nations per capita.

The study examines how rising temperatures, erratic rainfall, and increasing droughts exacerbate existing vulnerabilities in a context of rapid population growth driven by refugee influxes. It provides evidence-based recommendations for fostering climate resilience and social cohesion in fragile settings affected by protracted displacement, drawing on the Anticipatory Approaches in Host Communities for Emergency Preparedness and Disaster Mitigation (AHEAD) research in Irbid and Ramtha municipalities.",Report,Jordan,"Humanitarian,Development","Climate,Displacement & Migration,Resilience","1. Coordination: Joint analysis,7. Programming: Align with risk environment,9. Programming: Learning and evidence","CGIAR Initiative on Fragility, Conflict and Migration (FCM)","Schapendonk, F.; Jaskolski, M.; Meddings, G.; Läderach, P.; Pacillo, G.; Diebold, N.",2024,English,https://reliefweb.int/report/jordan/climate-resilience-and-humanitarian-development-peace-nexus-contexts-protracted-displacement-lessons-jordan,,Climate Resilience and the HDP Nexus in Contexts of Protracted Displacement Lessons from Jordan.webp,Climate Resilience and the HDP Nexus in Contexts of Protracted Displacement Lessons from Jordan.pdf
Co-ordination across the Humanitarian-Development-Peace Nexus,"This paper provides a detailed analysis of co-ordination amongst organisations engaging in fragile and conflict-affected contexts. Co-ordination is the first pillar of the Development Assistance Committee (DAC) Recommendation on the Humanitarian-Development-Peace (HDP) Nexus adopted by the DAC in 2019. Effective co-ordination is critical to the success of HDP Nexus approaches.

However, despite a limited donor base and implementing entities, challenges persist in co-ordinating actions across humanitarian, development, and peace sectors. Exploring a spectrum of co-ordination approaches, this paper aims to inform policy discussions with a renewed attention on development effectiveness and coherent approaches.",Policy Paper,"Cameroon,Central African Republic,Chad,Democratic Republic of the Congo","Development,Humanitarian,Peace","Protection,Disaster Risk Reduction,Governance,Resilience","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,11. Financing: Predictable flexible multi-year",OECD,"Dan Schreiber, Sophia Swithern",2023,English,https://www.oecd.org/en/publications/co-ordination-across-the-humanitarian-development-peace-nexus_fd302760-en.html,,Co-ordination across the Humanitarian-Development-Peace Nexus.webp,Co-ordination across the Humanitarian-Development-Peace Nexus.pdf
Coherence in Conflict: Bringing Humanitarian and Development Aid Streams Together,"This paper examines the practical challenge of achieving coherence between humanitarian and development aid streams in conflict-affected contexts, drawing on case study evidence. It analyses the systemic, institutional and operational barriers that prevent humanitarian and development actors from effectively coordinating and working towards shared objectives.

Key themes include: structural funding differences between humanitarian and development aid; conflicting mandates and principles; the challenge of transitioning from crisis response to long-term development; and the conditions under which coherence is achievable. The paper provides recommendations for donors, UN agencies and NGOs on how to create enabling conditions for more coherent programming in conflict settings.",Report,,"Development,Humanitarian,Peace","Governance,Resilience,Peace & Security","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,9. Programming: Learning and evidence,10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year",,,2018,English,https://um.dk/media/k3qlptkt/coherence-in-conflict_web-1.pdf,,Coherence in Conflict Bringing Humanitarian and Development Aid Streams Together.webp,Coherence in Conflict Bringing Humanitarian and Development Aid Streams Together.pdf
Collaboration for Inclusion and Solutions: Good Practices and Opportunities,"The brief outlines the collaborative efforts between UNDP and UNHCR from 2023-2025 to address issues related to forcibly displaced and stateless persons through the integration of Sustainable Development Goals (SDGs). The collaboration aims to enhance access to livelihoods, uphold the rule of law, and improve governance across national and local institutions within the humanitarian-development-peace (HDP) nexus. 

Key projects include initiatives in Myanmar to facilitate refugee returns with recovery and resilience-focused activities and the Regional Refugee and Resilience Plan (3RP) to manage the Syrian crisis impact in countries like Turkey, Lebanon, and Jordan. Collaboration in countries such as Burkina Faso and Colombia seeks to promote durable solutions, social cohesion, and improve living conditions in host communities affected by displacement and insecurity.

The collaboration underlines the significance of international cooperation, shared responsibility, and innovative financing to address the drivers of forced displacement and support peacebuilding efforts worldwide.",Policy Brief,"Burkina Faso,Colombia","Development,Humanitarian,Peace","Peace & Security,Livelihoods,Displacement & Migration,Resilience","7. Programming: Align with risk environment,1. Coordination: Joint analysis,10. Financing: Develop evidence-based strategies","UNDP, UNHCR, United Nations","UNDP, UNHCR",2023,English,https://www.undp.org/publications/collaboration-inclusion-and-solutions-good-practices-and-opportunities,,Collaboration for Inclusion and Solutions Good Practices and Opportunities.webp,Collaboration for Inclusion and Solutions Good Practices and Opportunities.pdf
Collecting experiences of Humanitarian-Development-Peace (HDP) nexus approaches Part 2: Africa,"The report details Sweden's pursuit of a coherent Humanitarian-Development-Peace (HDP) nexus approach in African countries from 2020-2022, aimed at harmonizing humanitarian, development, and peace efforts. 

Sida has enhanced resilience and nexus capacities, established a nexus committee, and developed guidance to advance HDP priorities, particularly in the Democratic Republic of Congo, Ethiopia, Kenya, Mali, Mozambique, Burkina Faso, and other nations. Emphasis is placed on aligning programming with risks, building resilience, and fostering durable solutions for displaced populations. 

Sida's strategies include coordination among agencies and donors, flexibility in programming, and prioritization of local context. Challenges include adapting to rapidly changing situations, integrating peace components into the nexus, and overcoming coordination hurdles. Embedded lessons underscore the importance of comprehensive planning, conflict sensitivity, and adaptable management frameworks for sustainable impact.",Report,"Burkina Faso,Ethiopia,Democratic Republic of the Congo","Development,Humanitarian,Peace","Environment,Gender,Protection,Food Security & Nutrition,Economic Development,Displacement & Migration,Governance,Resilience","4. Programming: Prioritising prevention,3. Coordination: Political engagement,1. Coordination: Joint analysis","CDA, Global Emergency Group, Life & Peace Institute, STHLM Policy Group, Saferworld, Swisspeace",The Swedish International Development Cooperation Agency (SIDA),2022,English,https://www.preventionweb.net/media/86257/download?startDownload=20250515,,Collecting experiences of Humanitarian-Development-Peace (HDP) nexus approaches Part 2 Africa.webp,Collecting experiences of Humanitarian-Development-Peace (HDP) nexus approaches Part 2 Africa.pdf
Collective Outcomes: Operationalizing the New Way of Working,"The document focuses on operationalizing the concept of ""collective outcomes"" a key component of the New Way of Working (NWOW) that addresses the intersection of humanitarian and development action in crisis contexts. It aims to achieve measurable results over a 3-5 year period that reduce vulnerabilities and increase resilience. 

Examples from Chad and Somalia illustrate collective outcomes, emphasizing collaboration across sectors and alignment with Sustainable Development Goals (SDGs). The process involves joint analysis, defining outcomes, and pooling resources, with steps for implementation based on comparative advantages of involved actors.

Key aspects include multi-year planning, leadership, finance adaptation, and consultation with affected communities.",Collective Outcomes,"Chad,Somalia","Development,Humanitarian","Health,WASH,Food Security & Nutrition,Disaster Risk Reduction,Governance,Resilience","7. Programming: Align with risk environment,5. Programming: People at the centre,8. Programming: National and local capacities,11. Financing: Predictable flexible multi-year","Agenda for Humanity, OCHA",OCHA,2018,English,https://agendaforhumanity.org/sites/default/files/resources/2018/Apr/OCHA%20Collective%20Outcomes%20April%202018.pdf,,Collective Outcomes Operationalizing the New Way of Working.webp,Collective Outcomes Operationalizing the New Way of Working.pdf
Community-led innovation partnership: Impact report from the Regional Humanitarian Partnership Week (RHPW) 2025,"A dialogue report summarizing strategies to enhance locally led actions and integrate community innovations directly into humanitarian-development partnership frameworks. Validates bottom-up innovation models, proving that investing in community-led technological and social innovations yields higher Nexus ROI than top-down solutions.",Report,,"Humanitarian,Development","Resilience,Economic Development","8. Programming: National and local capacities,5. Programming: People at the centre",CWS Japan,CWS Japan,2026,English,https://adrrninnovationhub.org/news/1308/,,Community-led innovation partnership Impact report from the Regional Humanitarian Partnership Week (RHPW) 2025.webp,Community-led innovation partnership Impact report from the Regional Humanitarian Partnership Week (RHPW) 2025.pdf
Conflict-Sensitive Conservation: Practitioners' Manual,"The Conflict-Sensitive Conservation Practitioners' Manual is aimed at helping conservation organizations integrate conflict sensitivity into their operations, particularly in areas affected by conflict. It emphasizes the importance of understanding the interactions between conservation efforts and local conflicts, including how such efforts can inadvertently contribute to conflict.

The manual outlines steps for assessing organizational readiness, allocating resources, and developing conflict-sensitive principles. It also provides tools for conflict analysis, such as conflict trees, conflict maps, and stakeholder profiles, enabling organizations to better address conflict causes and effects.

The manual encourages ongoing monitoring to ensure conservation activities do not exacerbate existing conflicts and promotes peacebuilding through sustainable resource management. It includes a sample plan and report, further illustrating the practical application of these strategies across varied contexts.",Guide,"Burundi,Democratic Republic of the Congo",Peace,"Environment,Peace & Security,Disaster Risk Reduction,Protection,Governance,Resilience","7. Programming: Align with risk environment,9. Programming: Learning and evidence,8. Programming: National and local capacities,10. Financing: Develop evidence-based strategies",International Institute for Sustainable Development (IISD),"Alec Crawford, Anne Hammill, Richard Matthew, Robert Craig, Robert Malpas",2009,English,https://www.iisd.org/publications/guide/conflict-sensitive-conservation-practitioners-manual,,Conflict-Sensitive Conservation Practitioners' Manual.webp,Conflict-Sensitive Conservation Practitioners' Manual.pdf
Connecting Disasters and Climate Change to the Humanitarian- Development-Peace Nexus,"This journal article argues for integrating climate change into the existing humanitarian-development-peace (HDP) nexus instead of establishing it as a separate stream. The authors contend that climate change impacts should be embedded within the framework of disaster risk reduction (DRR), and these components must work together as part of existing humanitarian, development, and peacebuilding efforts.

The article identifies risks in segregating climate change as a standalone aspect and highlights the importance of addressing climate impacts within the broader context of vulnerability reduction. The authors suggest that focusing on integrating climate change adaptation, mitigation, and disaster risk reduction into the HDP nexus can offer a comprehensive strategy to tackle root causes of vulnerability.

This integrated approach leverages existing frameworks like the Sendai Framework, the UN Framework Convention on Climate Change agreements, and the Sustainable Development Goals to enhance the collective impact on reducing vulnerability and promoting resilience.",Journal Article,"Bangladesh,Guatemala","Development,Humanitarian,Peace","Climate,Disaster Risk Reduction,Livelihoods,Protection,Social Cohesion,Governance,Resilience","7. Programming: Align with risk environment,8. Programming: National and local capacities,2. Coordination: Empowered leadership,10. Financing: Develop evidence-based strategies","Erasmus University Rotterdamn, UCL","Hyeonggeun Ji, Ilan Kelman, Laura Peters, Rodrigo Mena, Summer Brown",2022,English,https://doi.org/10.1177/15423166221129633,,Connecting Disasters and Climate Change to the Humanitarian- Development-Peace Nexus.webp,Connecting Disasters and Climate Change to the Humanitarian- Development-Peace Nexus.pdf
Connecting the Pieces of the Puzzle: The EU's Implementation of the Humanitarian-Development-Peace Nexus,"This paper discusses the EU's implementation of the Humanitarian-Development-Peace (HDP) Nexus, which seeks to enhance collaboration among humanitarian, development, and peace actors to address complex crises and strengthen community resilience.

The paper outlines principles and operational challenges, emphasizing the importance of context-specific engagement, conflict sensitivity, and respecting the varying mandates of different actors. It discusses the peace aspect of the nexus, noting the potential issues of integrating humanitarian principles with political objectives.

The paper further explores operational steps like joint context analysis, planning, coordination, funding, and adaptive management, offering examples from countries like Nigeria, Myanmar, and Cameroon. The need for flexible funding and adaptive management practices are highlighted to successfully implement nexus strategies. The document concludes with suggestions for the way forward, including boosting technical capacities and sharing lessons learned via monitoring and evaluation mechanisms.",Policy Paper,"Cameroon,Chad,Iraq","Development,Humanitarian,Peace","Social Cohesion,Governance,Resilience","7. Programming: Align with risk environment,8. Programming: National and local capacities,1. Coordination: Joint analysis,11. Financing: Predictable flexible multi-year",European Centre for Development Policy Management (ECPDM),"Pauline Veron, Volker Hauck",2021,English,https://ecdpm.org/work/connecting-the-pieces-of-the-puzzle-the-eus-implementation-of-the-humanitarian-development-peace-nexus,,Connecting the Pieces of the Puzzle The EUs Implementation of the Humanitarian-Development-Peace Nexus.webp,Connecting the Pieces of the Puzzle The EU's Implementation of the Humanitarian-Development-Peace Nexus.pdf
Context-Sensitive Engagement: Lessons learned from swiss experiences in South Asia for aid effectiveness in fragile scenarios,"This report examines the Swiss Agency for Development and Cooperation\'s (SDC) practices and experiences in South Asia, particularly in Afghanistan, Nepal, Pakistan, and Sri Lanka. It was prepared for the High-Level Forum on Aid Effectiveness in Accra, Ghana, and explores the preconditions for effective aid in fragile contexts.

With a focus on conflict-sensitive programme management, the report underscores the importance of continuous monitoring, strategy adaptation, and engagement with political processes alongside development efforts.

The document emphasizes the significance of context adaptation, comprehensive engagement strategies, and the integration of human security principles. It advocates for a whole-of-government approach in development assistance, stressing collaboration with diverse civil society actors beyond NGOs.

Additionally, the report highlights Switzerland's initiatives promoting peace and human rights and advocates for robust internal and donor harmonization to manage impacts effectively. Continuous adaptation of programmes and strategic recruitment policies are presented as essential to sustaining engagement in fragile and conflict-affected regions.",Report,"Afghanistan,Nepal,Sri Lanka,Pakistan","Development,Peace","Livelihoods,Governance,Protection,Social Cohesion,Resilience","7. Programming: Align with risk environment,6. Programming: Do no harm,8. Programming: National and local capacities,1. Coordination: Joint analysis,2. Coordination: Empowered leadership",Swiss Agency for Development Cooperation (SDC),"O. Jütersonke, T. Paffenholz",2008,English,https://alnap.org/help-library/resources/context-sensitive-engagement-lessons-learned-from-swiss-experiences-in-south-asia-for/,,Context-Sensitive Engagement Lessons learned from swiss experiences in South Asia for aid effectiveness in fragile scenarios.webp,Context-Sensitive Engagement Lessons learned from swiss experiences in South Asia for aid effectiveness in fragile scenarios.pdf
Convergence in the Sahel: How to Link Humanitarian Cash Assistance and National Social Protection Systems?,"Report examining how humanitarian cash assistance programmes can be linked to — and help strengthen — national social protection systems in the Sahel. Based on experience from the Sahel Adaptive Social Programme (SASP) across fragile Sahelian states, it addresses one of the most operationally concrete manifestations of the humanitarian-development nexus: the convergence between short-term, needs-based humanitarian cash transfers and longer-term, rights-based social protection systems.

Examines enabling conditions, coordination mechanisms, financing arrangements and lessons from implementation, with implications for nexus programming in other fragile contexts where nascent social protection systems offer potential bridges between humanitarian response and development investment.",Report,"Burkina Faso,Mali,Niger,Chad,Mauritania","Humanitarian,Development","Financing,Social Cohesion,Resilience,Food Security & Nutrition","10. Financing: Develop evidence-based strategies,11. Financing: Predictable flexible multi-year,5. Programming: People at the centre","World Bank, Sahel Adaptive Social Programme (SASP)","Mira Saidi, Claudia Santamaria Ruiz",2024,English,https://openknowledge.worldbank.org/bitstreams/279fecc9-60e1-4de7-8c1e-cd2d55602eb4/download,,Convergence in the Sahel How to Link Humanitarian Cash Assistance and National Social Protection Systems.webp,Convergence in the Sahel How to Link Humanitarian Cash Assistance and National Social Protection Systems.pdf
Country Brief on the Humanitarian-Development-Peace Nexus in Afghanistan,"While attempts to operationalize the nexus have been active for years in Afghanistan, the onset of the COVID-19 pandemic provided a broad impetus for more joined-up collaboration between humanitarian and development partners.

The overarching strategy to operationalizing the nexus is based on the objectives of the multi-year Humanitarian Response Plan (HRP) and One
UN for Afghanistan Framework. A new UN Sustainable Development Cooperation Framework (UNSDCF, 2022-25) is currently being developed. Nexus efforts currently remain focused on aligning and coordinating planning frameworks rather than on joined-up programming. ",Case Study,Afghanistan,"Development,Humanitarian,Peace",,"4. Programming: Prioritising prevention,8. Programming: National and local capacities,3. Coordination: Political engagement,1. Coordination: Joint analysis,10. Financing: Develop evidence-based strategies",Inter-Agency Standing Committee (IASC),Inter-Agency Standing Committee (IASC),2021,English,https://interagencystandingcommittee.org/sites/default/files/migrated/2021-09/Country%20Brief%20on%20the%20Humanitarian-Development-%20Peace%20Nexus%20%28Afghanistan%29.pdf,,Country Brief on the Humanitarian-Development-Peace Nexus in Afghanistan.webp,Country Brief on the Humanitarian-Development-Peace Nexus in Afghanistan.pdf
